gas,year,value,region
CO2,2015,65030286.64,Romania
CH4,2015,957522.4,Romania
N2O,2015,34780.66,Romania
CO2,2016,63305955.65,Romania
CH4,2016,934304.43,Romania
N2O,2016,34726.44,Romania
CO2,2017,65322442.46,Romania
CH4,2017,916745.19,Romania
N2O,2017,36311.63,Romania
CO2,2018,65048719.72,Romania
CH4,2018,900419.42,Romania
N2O,2018,38920.55,Romania
CO2,2019,61734166.51,Romania
CH4,2019,909167.66,Romania
N2O,2019,37630.53,Romania
CO2,2020,58150269.69,Romania
CH4,2020,890655.86,Romania
N2O,2020,35303.07,Romania
CO2,2021,60073540.54,Romania
CH4,2021,870438.27,Romania
N2O,2021,38059.98,Romania
CO2,2022,56086820.14,Romania
CH4,2022,861540.95,Romania
N2O,2022,33751.49,Romania
CO2,2023,50283851.2,Romania
CH4,2023,843859.24,Romania
N2O,2023,33921.63,Romania
CO2,2024,62664390.52,Romania
CH4,2024,788373.43,Romania
N2O,2024,29926.14,Romania
GEO (Labels),2015,,EU27
CO2,2015,2598787823.78,EU27
CH4,2015,14697188.51,EU27
N20,2015,660621.06,EU27
GEO (Labels),2016,,EU27
CO2,2016,2594086993.84,EU27
CH4,2016,14527419.37,EU27
N20,2016,665310.06,EU27
GEO (Labels),2017,,EU27
CO2,2017,2644091285.63,EU27
CH4,2017,14461745.81,EU27
N20,2017,673276.2,EU27
GEO (Labels),2018,,EU27
CO2,2018,2572978738.48,EU27
CH4,2018,14225151.58,EU27
N20,2018,663984.54,EU27
GEO (Labels),2019,,EU27
CO2,2019,2442155056.11,EU27
CH4,2019,13946806.4,EU27
N20,2019,651647.57,EU27
GEO (Labels),2020,,EU27
CO2,2020,2147113379.06,EU27
CH4,2020,13838145.07,EU27
N20,2020,647702.42,EU27
GEO (Labels),2021,,EU27
CO2,2021,2313315102.34,EU27
CH4,2021,13695741.3,EU27
N20,2021,646805.12,EU27
GEO (Labels),2022,,EU27
CO2,2022,2303143096.67,EU27
CH4,2022,13461952.56,EU27
N20,2022,608083.06,EU27
GEO (Labels),2023,,EU27
CO2,2023,2085707420.09,EU27
CH4,2023,13186251.88,EU27
N20,2023,603018.36,EU27
GEO (Labels),2024,,EU27
CO2,2024,2050885404.33,EU27
CH4,2024,13555744.9,EU27
N20,2024,560018.69,EU27
