Country,EPI
Estonia,75.7
Luxembourg,75.1
Germany,74.5
Sweden,70.3
United Kingdom,69.3
Denmark,67.9
Finland,67.6
Austria,66.5
Netherlands,66
France,62.5
Spain,60.5
Italy,57.8
Poland,55.2
Czechia,58
Hungary,54
Romania,50
Bulgaria,48.5
Greece,56
Portugal,59.5
Ireland,64
Norway,68
Switzerland,72
Belgium,65
Slovakia,53
Slovenia,60
Croatia,52
Lithuania,57
Latvia,58.5
Estonia,75.7
Ukraine,49
Turkey,45
USA,60
Canada,64.5
Brazil,52.5
Argentina,50.5
Chile,55.5
Mexico,48
China,43
India,38
Japan,63
South Korea,58
Australia,68.5
South Africa,46
Egypt,44
Nigeria,40
Kenya,47
Saudi Arabia,42
Indonesia,41
Thailand,50
Vietnam,48
Philippines,46
New Zealand,69
